Angle, TimePerStep, Intensity
36.38,0.5,48
36.4,0.5,35
36.42,0.5,18
36.44,0.5,38
36.46,0.5,13
36.48,0.5,15
36.5,0.5,20
36.52,0.5,14
36.54,0.5,10
36.56,0.5,17
36.58,0.5,20
36.6,0.5,13
36.62,0.5,12
36.64,0.5,10
36.66,0.5,5
36.68,0.5,8
36.7,0.5,9
36.72,0.5,8
36.74,0.5,5
36.76,0.5,3
36.78,0.5,10
36.8,0.5,12
36.82,0.5,6
36.84,0.5,10
36.86,0.5,8
36.88,0.5,7
36.9,0.5,13
36.92,0.5,10
36.94,0.5,7
36.96,0.5,11
36.98,0.5,10
37,0.5,4
37.02,0.5,6
37.04,0.5,12
37.06,0.5,6
37.08,0.5,3
37.1,0.5,5
37.12,0.5,4
37.14,0.5,3
37.16,0.5,10
37.18,0.5,6
37.2,0.5,5
37.22,0.5,6
37.24,0.5,3
37.26,0.5,6
37.28,0.5,10
37.3,0.5,5
37.32,0.5,9
37.34,0.5,8
37.36,0.5,2
37.38,0.5,6
37.4,0.5,10
37.42,0.5,3
37.44,0.5,8
37.46,0.5,4
37.48,0.5,10
37.5,0.5,5
37.52,0.5,10
37.54,0.5,8
37.56,0.5,5
37.58,0.5,11
37.6,0.5,3
37.62,0.5,7
37.64,0.5,3
37.66,0.5,5
37.68,0.5,4
37.7,0.5,6
37.72,0.5,3
37.74,0.5,7
37.76,0.5,4
37.78,0.5,2
37.8,0.5,3
37.82,0.5,12
37.84,0.5,8
37.86,0.5,6
37.88,0.5,8
37.9,0.5,3
37.92,0.5,7
37.94,0.5,3
37.96,0.5,10
37.98,0.5,7
38,0.5,7
38.02,0.5,2
38.04,0.5,4
38.06,0.5,4
38.08,0.5,5
38.1,0.5,5
38.12,0.5,3
38.14,0.5,9
38.16,0.5,4
38.18,0.5,8
38.2,0.5,5
38.22,0.5,3
38.24,0.5,2
38.26,0.5,8
38.28,0.5,7
38.3,0.5,3
38.32,0.5,4
38.34,0.5,7
38.36,0.5,9
38.38,0.5,6
38.4,0.5,5
38.42,0.5,3
38.44,0.5,7
38.46,0.5,7
38.48,0.5,2
38.5,0.5,3
38.52,0.5,6
38.54,0.5,5
38.56,0.5,7
38.58,0.5,8
38.6,0.5,1
38.62,0.5,5
38.64,0.5,2
38.66,0.5,1
38.68,0.5,5
38.7,0.5,5
38.72,0.5,2
38.74,0.5,5
38.76,0.5,5
38.78,0.5,2
38.8,0.5,6
38.82,0.5,1
38.84,0.5,4
38.86,0.5,7
38.88,0.5,2
38.9,0.5,5
38.92,0.5,4
38.94,0.5,5
38.96,0.5,14
38.98,0.5,8
39,0.5,5
39.02,0.5,2
39.04,0.5,7
39.06,0.5,2
39.08,0.5,9
39.1,0.5,9
39.12,0.5,8
39.14,0.5,4
39.16,0.5,5
39.18,0.5,5
39.2,0.5,1
39.22,0.5,5
39.24,0.5,6
39.26,0.5,5
39.28,0.5,10
39.3,0.5,11
39.32,0.5,8
39.34,0.5,6
39.36,0.5,7
39.38,0.5,4
39.4,0.5,4
39.42,0.5,6
39.44,0.5,9
39.46,0.5,3
39.48,0.5,5
39.5,0.5,6
39.52,0.5,7
39.54,0.5,2
39.56,0.5,8
39.58,0.5,10
39.6,0.5,5
39.62,0.5,3
39.64,0.5,4
39.66,0.5,7
39.68,0.5,6
39.7,0.5,3
39.72,0.5,6
39.74,0.5,4
39.76,0.5,2
39.78,0.5,6
39.8,0.5,4
39.82,0.5,6
39.84,0.5,3
39.86,0.5,9
39.88,0.5,6
39.9,0.5,7
39.92,0.5,3
39.94,0.5,1
39.96,0.5,4
39.98,0.5,8
40,0.5,2
40.02,0.5,4
40.04,0.5,3
40.06,0.5,8
40.08,0.5,6
40.1,0.5,5
40.12,0.5,3
40.14,0.5,6
40.16,0.5,1
40.18,0.5,6
40.2,0.5,7
40.22,0.5,4
40.24,0.5,3
40.26,0.5,3
40.28,0.5,7
40.3,0.5,4
40.32,0.5,5
40.34,0.5,3
40.36,0.5,2
40.38,0.5,6
40.4,0.5,4
40.42,0.5,10
40.44,0.5,3
40.46,0.5,5
40.48,0.5,8
40.5,0.5,2
40.52,0.5,9
40.54,0.5,4
40.56,0.5,3
40.58,0.5,6
40.6,0.5,5
40.62,0.5,5
40.64,0.5,3
40.66,0.5,3
40.68,0.5,7
40.7,0.5,2
40.72,0.5,4
40.74,0.5,5
40.76,0.5,8
40.78,0.5,6
40.8,0.5,4
40.82,0.5,4
40.84,0.5,1
40.86,0.5,5
40.88,0.5,3
40.9,0.5,6
40.92,0.5,3
40.94,0.5,5
40.96,0.5,3
40.98,0.5,3
41,0.5,5
41.02,0.5,4
41.04,0.5,3
41.06,0.5,2
41.08,0.5,4
41.1,0.5,9
41.12,0.5,5
41.14,0.5,7
41.16,0.5,6
41.18,0.5,5
41.2,0.5,6
41.22,0.5,6
41.24,0.5,5
41.26,0.5,2
41.28,0.5,3
41.3,0.5,9
41.32,0.5,10
41.34,0.5,6
41.36,0.5,9
41.38,0.5,4
41.4,0.5,5
41.42,0.5,8
41.44,0.5,10
41.46,0.5,4
41.48,0.5,8
41.5,0.5,4
41.52,0.5,4
41.54,0.5,4
41.56,0.5,10
41.58,0.5,8
41.6,0.5,3
41.62,0.5,5
41.64,0.5,4
41.66,0.5,6
41.68,0.5,3
41.7,0.5,6
41.72,0.5,6
41.74,0.5,5
41.76,0.5,2
41.78,0.5,5
41.8,0.5,1
41.82,0.5,8
41.84,0.5,4
41.86,0.5,4
41.88,0.5,2
41.9,0.5,6
41.92,0.5,4
41.94,0.5,4
41.96,0.5,4
41.98,0.5,1
42,0.5,6
42.02,0.5,3
42.04,0.5,5
42.06,0.5,3
42.08,0.5,5
42.1,0.5,4
42.12,0.5,5
42.14,0.5,5
42.16,0.5,6
42.18,0.5,7
42.2,0.5,3
42.22,0.5,7
42.24,0.5,9
42.26,0.5,5
42.28,0.5,3
42.3,0.5,3
42.32,0.5,5
42.34,0.5,4
42.36,0.5,3
42.38,0.5,7
42.4,0.5,6
42.42,0.5,3
42.44,0.5,2
42.46,0.5,1
42.48,0.5,3
42.5,0.5,5
42.52,0.5,5
42.54,0.5,4
42.56,0.5,3
42.58,0.5,4
42.6,0.5,3
42.62,0.5,11
42.64,0.5,4
42.66,0.5,5
42.68,0.5,6
42.7,0.5,7
42.72,0.5,11
42.74,0.5,5
42.76,0.5,3
42.78,0.5,5
42.8,0.5,5
42.82,0.5,5
42.84,0.5,5
42.86,0.5,6
42.88,0.5,8
42.9,0.5,3
42.92,0.5,2
42.94,0.5,5
42.96,0.5,5
42.98,0.5,4
43,0.5,9
43.02,0.5,4
43.04,0.5,7
43.06,0.5,6
43.08,0.5,4
43.1,0.5,11
43.12,0.5,8
43.14,0.5,4
43.16,0.5,3
43.18,0.5,2
43.2,0.5,9
43.22,0.5,2
43.24,0.5,3
43.26,0.5,4
43.28,0.5,6
43.3,0.5,8
43.32,0.5,7
43.34,0.5,2
43.36,0.5,5
43.38,0.5,3
43.4,0.5,5
43.42,0.5,3
43.44,0.5,4
43.46,0.5,3
43.48,0.5,4
43.5,0.5,5
43.52,0.5,4
43.54,0.5,2
43.56,0.5,4
43.58,0.5,3
43.6,0.5,5
43.62,0.5,5
43.64,0.5,5
43.66,0.5,6
43.68,0.5,4
43.7,0.5,4
43.72,0.5,4
43.74,0.5,4
43.76,0.5,5
43.78,0.5,3
43.8,0.5,3
43.82,0.5,6
43.84,0.5,10
43.86,0.5,4
43.88,0.5,4
43.9,0.5,2
43.92,0.5,3
43.94,0.5,11
43.96,0.5,2
43.98,0.5,6
44,0.5,3
44.02,0.5,6
44.04,0.5,3
44.06,0.5,4
44.08,0.5,2
44.1,0.5,3
44.12,0.5,4
44.14,0.5,1
44.16,0.5,5
44.18,0.5,3
44.2,0.5,5
44.22,0.5,3
44.24,0.5,10
44.26,0.5,2
44.28,0.5,3
44.3,0.5,3
44.32,0.5,6
44.34,0.5,2
44.36,0.5,1
44.38,0.5,4
44.4,0.5,4
44.42,0.5,3
44.44,0.5,3
44.46,0.5,5
44.48,0.5,5
44.5,0.5,3
44.52,0.5,2
44.54,0.5,5
44.56,0.5,3
44.58,0.5,5
44.6,0.5,6
44.62,0.5,3
44.64,0.5,4
44.66,0.5,4
44.68,0.5,3
44.7,0.5,4
44.72,0.5,4
44.74,0.5,7
44.76,0.5,3
44.78,0.5,5
44.8,0.5,4
44.82,0.5,4
44.84,0.5,7
44.86,0.5,4
44.88,0.5,5
44.9,0.5,5
44.92,0.5,5
44.94,0.5,4
44.96,0.5,7
44.98,0.5,4
45,0.5,9
45.02,0.5,2
45.04,0.5,0
45.06,0.5,2
45.08,0.5,6
45.1,0.5,3
45.12,0.5,3
45.14,0.5,3
45.16,0.5,4
45.18,0.5,3
45.2,0.5,6
45.22,0.5,6
45.24,0.5,5
45.26,0.5,4
45.28,0.5,5
45.3,0.5,5
45.32,0.5,3
45.34,0.5,3
45.36,0.5,5
45.38,0.5,6
45.4,0.5,6
45.42,0.5,5
45.44,0.5,2
45.46,0.5,4
45.48,0.5,3
45.5,0.5,4
45.52,0.5,6
45.54,0.5,5
45.56,0.5,6
45.58,0.5,3
45.6,0.5,5
45.62,0.5,2
45.64,0.5,4
45.66,0.5,6
45.68,0.5,6
45.7,0.5,5
45.72,0.5,4
45.74,0.5,4
45.76,0.5,0
45.78,0.5,5
45.8,0.5,4
45.82,0.5,2
45.84,0.5,7
45.86,0.5,7
45.88,0.5,9
45.9,0.5,4
45.92,0.5,5
45.94,0.5,7
45.96,0.5,5
45.98,0.5,8
46,0.5,5
46.02,0.5,6
46.04,0.5,2
46.06,0.5,3
46.08,0.5,4
46.1,0.5,9
46.12,0.5,4
46.14,0.5,5
46.16,0.5,8
46.18,0.5,5
46.2,0.5,5
46.22,0.5,5
46.24,0.5,8
46.26,0.5,4
46.28,0.5,6
46.3,0.5,3
46.32,0.5,8
46.34,0.5,5
46.36,0.5,4
46.38,0.5,2
46.4,0.5,6
46.42,0.5,3
46.44,0.5,6
46.46,0.5,7
46.48,0.5,7
46.5,0.5,7
46.52,0.5,5
46.54,0.5,7
46.56,0.5,7
46.58,0.5,9
46.6,0.5,5
46.62,0.5,7
46.64,0.5,6
46.66,0.5,4
46.68,0.5,8
46.7,0.5,4
46.72,0.5,5
46.74,0.5,3
46.76,0.5,7
46.78,0.5,6
46.8,0.5,6
46.82,0.5,7
46.84,0.5,9
46.86,0.5,9
46.88,0.5,10
46.9,0.5,9
46.92,0.5,7
46.94,0.5,13
46.96,0.5,6
46.98,0.5,4
47,0.5,5
47.02,0.5,4
47.04,0.5,6
47.06,0.5,8
47.08,0.5,14
47.1,0.5,9
47.12,0.5,7
47.14,0.5,16
47.16,0.5,9
47.18,0.5,8
47.2,0.5,13
47.22,0.5,15
47.24,0.5,8
47.26,0.5,15
47.28,0.5,15
47.3,0.5,16
47.32,0.5,21
47.34,0.5,20
47.36,0.5,43
47.38,0.5,78
47.4,0.5,125
47.42,0.5,150
47.44,0.5,207
47.46,0.5,255
47.48,0.5,341
47.5,0.5,293
47.52,0.5,269
47.54,0.5,235
47.56,0.5,160
47.58,0.5,180
47.6,0.5,159
47.62,0.5,147
47.64,0.5,144
47.66,0.5,95
47.68,0.5,68
47.7,0.5,34
47.72,0.5,20
47.74,0.5,15
47.76,0.5,14
47.78,0.5,10
47.8,0.5,3
47.82,0.5,9
47.84,0.5,2
47.86,0.5,4
47.88,0.5,9
47.9,0.5,4
47.92,0.5,7
47.94,0.5,3
47.96,0.5,7
47.98,0.5,6
48,0.5,7
48.02,0.5,7
48.04,0.5,15
48.06,0.5,2
48.08,0.5,5
48.1,0.5,6
48.12,0.5,5
48.14,0.5,5
48.16,0.5,4
48.18,0.5,5
48.2,0.5,8
48.22,0.5,5
48.24,0.5,7
48.26,0.5,5
48.28,0.5,4
48.3,0.5,1
48.32,0.5,10
48.34,0.5,4
48.36,0.5,4
48.38,0.5,10
48.4,0.5,7
48.42,0.5,6
48.44,0.5,8
48.46,0.5,7
48.48,0.5,6
48.5,0.5,3
48.52,0.5,5
48.54,0.5,6
48.56,0.5,6
48.58,0.5,2
48.6,0.5,7
48.62,0.5,1
48.64,0.5,4
48.66,0.5,4
48.68,0.5,4
48.7,0.5,7
48.72,0.5,7
48.74,0.5,5
48.76,0.5,2
48.78,0.5,4
48.8,0.5,6
48.82,0.5,5
48.84,0.5,6
48.86,0.5,5
48.88,0.5,5
48.9,0.5,11
48.92,0.5,6
48.94,0.5,8
48.96,0.5,5
48.98,0.5,8
49,0.5,5
49.02,0.5,1
49.04,0.5,6
49.06,0.5,5
49.08,0.5,3
49.1,0.5,5
49.12,0.5,5
49.14,0.5,7
49.16,0.5,9
49.18,0.5,7
49.2,0.5,5
49.22,0.5,6
49.24,0.5,3
49.26,0.5,2
49.28,0.5,7
49.3,0.5,2
49.32,0.5,4
49.34,0.5,12
49.36,0.5,3
49.38,0.5,8
49.4,0.5,4
49.42,0.5,4
49.44,0.5,7
49.46,0.5,3
49.48,0.5,9
49.5,0.5,2
49.52,0.5,2
49.54,0.5,6
49.56,0.5,6
49.58,0.5,5
49.6,0.5,6
49.62,0.5,8
49.64,0.5,5
49.66,0.5,6
49.68,0.5,7
49.7,0.5,4
49.72,0.5,3
49.74,0.5,5
49.76,0.5,3
49.78,0.5,7
49.8,0.5,7
49.82,0.5,4
49.84,0.5,4
49.86,0.5,4
49.88,0.5,5
49.9,0.5,4
49.92,0.5,6
49.94,0.5,5
49.96,0.5,5
49.98,0.5,7
50,0.5,5
50.02,0.5,3
50.04,0.5,4
50.06,0.5,3
50.08,0.5,5
50.1,0.5,8
50.12,0.5,9
50.14,0.5,4
50.16,0.5,14
50.18,0.5,10
50.2,0.5,6
50.22,0.5,6
50.24,0.5,5
50.26,0.5,1
50.28,0.5,4
50.3,0.5,3
50.32,0.5,1
50.34,0.5,3
50.36,0.5,7
50.38,0.5,6
50.4,0.5,6
50.42,0.5,4
50.44,0.5,5
50.46,0.5,6
50.48,0.5,6
50.5,0.5,7
50.52,0.5,7
50.54,0.5,5
50.56,0.5,5
50.58,0.5,3
50.6,0.5,11
50.62,0.5,7
50.64,0.5,2
50.66,0.5,3
50.68,0.5,5
50.7,0.5,7
50.72,0.5,9
50.74,0.5,4
50.76,0.5,5
50.78,0.5,4
50.8,0.5,5
50.82,0.5,6
50.84,0.5,4
50.86,0.5,5
50.88,0.5,4
50.9,0.5,2
50.92,0.5,5
50.94,0.5,1
50.96,0.5,2
50.98,0.5,4
51,0.5,2
51.02,0.5,3
51.04,0.5,3
51.06,0.5,5
51.08,0.5,5
51.1,0.5,5
51.12,0.5,4
51.14,0.5,8
51.16,0.5,2
51.18,0.5,3
51.2,0.5,7
51.22,0.5,5
51.24,0.5,4
51.26,0.5,4
51.28,0.5,5
51.3,0.5,2
51.32,0.5,2
51.34,0.5,2
51.36,0.5,5
51.38,0.5,3
51.4,0.5,9
51.42,0.5,6
51.44,0.5,5
51.46,0.5,4
51.48,0.5,4
51.5,0.5,11
51.52,0.5,8
51.54,0.5,1
51.56,0.5,4
51.58,0.5,1
51.6,0.5,5
51.62,0.5,1
51.64,0.5,3
51.66,0.5,1
51.68,0.5,2
51.7,0.5,5
51.72,0.5,9
51.74,0.5,5
51.76,0.5,2
51.78,0.5,3
51.8,0.5,4
51.82,0.5,7
51.84,0.5,3
51.86,0.5,5
51.88,0.5,4
51.9,0.5,8
51.92,0.5,6
51.94,0.5,3
51.96,0.5,3
51.98,0.5,4
52,0.5,4
52.02,0.5,6
52.04,0.5,1
52.06,0.5,3
52.08,0.5,4
52.1,0.5,2
52.12,0.5,7
52.14,0.5,5
52.16,0.5,2
52.18,0.5,5
52.2,0.5,12
52.22,0.5,5
52.24,0.5,6
52.26,0.5,1
52.28,0.5,5
52.3,0.5,6
52.32,0.5,5
52.34,0.5,6
52.36,0.5,4
52.38,0.5,8
52.4,0.5,4
52.42,0.5,2
52.44,0.5,4
52.46,0.5,3
52.48,0.5,4
52.5,0.5,4
52.52,0.5,7
52.54,0.5,5
52.56,0.5,4
52.58,0.5,5
52.6,0.5,2
52.62,0.5,5
52.64,0.5,5
52.66,0.5,2
52.68,0.5,5
52.7,0.5,8
