Angle, TimePerStep, Intensity
26.42,0.5,5
26.44,0.5,3
26.46,0.5,6
26.48,0.5,5
26.5,0.5,10
26.52,0.5,4
26.54,0.5,6
26.56,0.5,5
26.58,0.5,5
26.6,0.5,6
26.62,0.5,10
26.64,0.5,7
26.66,0.5,10
26.68,0.5,4
26.7,0.5,6
26.72,0.5,5
26.74,0.5,6
26.76,0.5,7
26.78,0.5,3
26.8,0.5,9
26.82,0.5,4
26.84,0.5,7
26.86,0.5,8
26.88,0.5,7
26.9,0.5,7
26.92,0.5,9
26.94,0.5,5
26.96,0.5,10
26.98,0.5,7
27,0.5,13
27.02,0.5,10
27.04,0.5,9
27.06,0.5,6
27.08,0.5,14
27.1,0.5,9
27.12,0.5,8
27.14,0.5,12
27.16,0.5,12
27.18,0.5,14
27.2,0.5,6
27.22,0.5,17
27.24,0.5,18
27.26,0.5,15
27.28,0.5,10
27.3,0.5,8
27.32,0.5,6
27.34,0.5,10
27.36,0.5,6
27.38,0.5,14
27.4,0.5,6
27.42,0.5,12
27.44,0.5,7
27.46,0.5,8
27.48,0.5,6
27.5,0.5,7
27.52,0.5,7
27.54,0.5,11
27.56,0.5,12
27.58,0.5,9
27.6,0.5,14
27.62,0.5,13
27.64,0.5,13
27.66,0.5,13
27.68,0.5,16
27.7,0.5,10
27.72,0.5,14
27.74,0.5,13
27.76,0.5,12
27.78,0.5,11
27.8,0.5,16
27.82,0.5,16
27.84,0.5,22
27.86,0.5,12
27.88,0.5,17
27.9,0.5,16
27.92,0.5,18
27.94,0.5,20
27.96,0.5,29
27.98,0.5,34
28,0.5,23
28.02,0.5,34
28.04,0.5,26
28.06,0.5,34
28.08,0.5,55
28.1,0.5,39
28.12,0.5,41
28.14,0.5,41
28.16,0.5,69
28.18,0.5,87
28.2,0.5,86
28.22,0.5,106
28.24,0.5,172
28.26,0.5,227
28.28,0.5,257
28.3,0.5,378
28.32,0.5,529
28.34,0.5,663
28.36,0.5,827
28.38,0.5,960
28.4,0.5,1047
28.42,0.5,954
28.44,0.5,824
28.46,0.5,652
28.48,0.5,440
28.5,0.5,315
28.52,0.5,230
28.54,0.5,165
