wavelength	transmission	transmission
nm	%	%
	NaCl, not irradiated	NaCl, irradiated with X-rays
1076.2	86.632	71.595
1076.1	86.604	71.627
1076	86.518	71.566
1075.9	86.597	71.532
1075.8	86.548	71.453999
1075.7	86.578	71.441
1075.6	86.433	71.458
1075.5	86.395	71.448
1075.4	86.414	71.453999
1075.3	86.505	71.426999
1075.2	86.473999	71.477999
1075.1	86.5	71.516
1075	86.521	71.55
1074.9	86.536	71.509
1074.8	86.502	71.486
1074.7	86.479	71.527
1074.6	86.472	71.503
1074.5	86.458	71.479
1074.4	86.462999	71.48
1074.3	86.578	71.492999
1074.2	86.497999	71.484
1074.1	86.597	71.486999
1074	86.606	71.47
1073.9	86.646	71.464
1073.8	86.556	71.413
1073.7	86.488	71.348999
1073.6	86.572	71.413
1073.5	86.616	71.455
1073.4	86.634	71.433
1073.3	86.512	71.458
1073.2	86.526	71.465
1073.1	86.592	71.480999
1073	86.68	71.445
1072.9	86.663	71.453999
1072.8	86.761	71.279
1072.7	86.553	71.413
1072.6	86.507	71.36
1072.5	86.462	71.371
1072.4	86.438	71.445
1072.3	86.627	71.355
1072.2	86.58	71.369
1072.1	86.566	71.354
1072	86.556999	71.480999
1071.9	86.497	71.364999
1071.8	86.52	71.357
1071.7	86.48	71.411999
1071.6	86.431	71.442
1071.5	86.462999	71.464
1071.4	86.531	71.428
1071.3	86.581	71.327
1071.2	86.489	71.345
1071.1	86.665	71.298
1071	86.592	71.288
1070.9	86.594	71.331
1070.8	86.623	71.319
1070.7	86.609	71.407
1070.6	86.637	71.355999
1070.5	86.578999	71.313999
1070.4	86.595999	71.284
1070.3	86.655	71.34
1070.2	86.521	71.379
1070.1	86.462999	71.442
1070	86.497999	71.429
1069.9	86.528	71.335
1069.8	86.480999	71.272
1069.7	86.462999	71.255
1069.6	86.563999	71.284
1069.5	86.563999	71.307
1069.4	86.5	71.283
1069.3	86.602999	71.292999
1069.2	86.581	71.297
1069.1	86.458	71.276
1069	86.534	71.321
1068.9	86.566	71.246
1068.8	86.548	71.281
1068.7	86.617999	71.336
1068.6	86.5	71.33
1068.5	86.532	71.276
1068.4	86.512	71.19
1068.3	86.495	71.17
1068.2	86.502	71.235
1068.1	86.404	71.226
1068	86.443	71.152
1067.9	86.563	71.233999
1067.8	86.521	71.253999
1067.7	86.59	71.277999
1067.6	86.627	71.308
1067.5	86.569	71.282
1067.4	86.374	71.251
1067.3	86.438999	71.233999
1067.2	86.514	71.226999
1067.1	86.414	71.182
1067	86.492	71.221999
1066.9	86.574	71.047
1066.8	86.488	71.233999
1066.7	86.547	71.282
1066.6	86.688	71.233999
1066.5	86.652	71.212
1066.4	86.606	71.265
1066.3	86.639	71.19
1066.2	86.539	71.251
1066.1	86.479	71.236
1066	86.392	71.228
1065.9	86.518	71.152
1065.8	86.528	71.267
1065.7	86.448	71.177
1065.6	86.465999	71.12
1065.5	86.447	71.128
1065.4	86.568	71.079
1065.3	86.556999	71.167999
1065.2	86.487	71.149
1065.1	86.473999	71.096
1065	86.512999	71.143999
1064.9	86.417999	71.146
1064.8	86.363999	71.175999
1064.7	86.402	71.194
1064.6	86.533	71.208
1064.5	86.56	71.226
1064.4	86.441	71.179999
1064.3	86.413	71.158999
1064.2	86.436	71.107
1064.1	86.362	71.094
1064	86.367	71.114999
1063.9	86.393	71.146
1063.8	86.505	71.081
1063.7	86.492	71.036999
1063.6	86.459	71.072
1063.5	86.452	71.063
1063.4	86.414999	71.098
1063.3	86.482	71.158999
1063.2	86.491	71.134
1063.1	86.445	71.122
1063	86.361	71.116
1062.9	86.433	71.162
1062.8	86.492	71.131999
1062.7	86.471	71.081999
1062.6	86.465999	71.062
1062.5	86.487	71.096
1062.4	86.4	71.155999
1062.3	86.398	71.111999
1062.2	86.444	71.229
1062.1	86.581	71.211
1062	86.55	71.08
1061.9	86.48	71.096
1061.8	86.467	71.108999
1061.7	86.566	71.084999
1061.6	86.431	71.044
1061.5	86.369	71.095
1061.4	86.511	70.994
1061.3	86.450999	71.111999
1061.2	86.453	71.014
1061.1	86.374	71.027
1061	86.512999	71.036999
1060.9	86.334999	71.039
1060.8	86.441999	71.055
1060.7	86.497999	71.02
1060.6	86.492999	70.953999
1060.5	86.514	71.074
1060.4	86.402999	71.014
1060.3	86.517	71.009
1060.2	86.416	71.036999
1060.1	86.497	70.981
1060	86.556	70.986999
1059.9	86.551	71.014
1059.8	86.546	70.986
1059.7	86.324	70.938999
1059.6	86.429999	70.926999
1059.5	86.536999	70.991
1059.4	86.450999	70.999
1059.3	86.443	70.977999
1059.2	86.402	70.952
1059.1	86.458	70.952
1059	86.479	70.991
1058.9	86.476	71.007
1058.8	86.456	70.953999
1058.7	86.428	70.967
1058.6	86.468999	70.944
1058.5	86.518	70.972
1058.4	86.483	70.985
1058.3	86.445	70.887999
1058.2	86.409	70.938
1058.1	86.39	70.943
1058	86.429999	70.946
1057.9	86.355999	70.905
1057.8	86.38	70.877
1057.7	86.449	70.889
1057.6	86.502	70.929
1057.5	86.387	70.855
1057.4	86.485	70.919
1057.3	86.465	70.949
1057.2	86.429999	70.916
1057.1	86.487	70.934
1057	86.351	70.97
1056.9	86.408	70.908
1056.8	86.387	70.889
1056.7	86.396	70.903
1056.6	86.389	70.881
1056.5	86.405	70.887999
1056.4	86.488	70.902
1056.3	86.341	70.875999
1056.2	86.462999	70.92
1056.1	86.488	70.94
1056	86.438999	70.914
1055.9	86.475	70.906
1055.8	86.436	70.807
1055.7	86.377	70.862
1055.6	86.386	70.889
1055.5	86.476	70.899
1055.4	86.585	70.863
1055.3	86.425	70.86
1055.2	86.458	70.84
1055.1	86.443	70.857
1055	86.434	70.860999
1054.9	86.455	70.867
1054.8	86.455	70.837
1054.7	86.509	70.781
1054.6	86.497999	70.857
1054.5	86.421	70.923
1054.4	86.336	70.894
1054.3	86.292999	70.846
1054.2	86.404	70.808
1054.1	86.472	70.819
1054	86.338	70.816
1053.9	86.324	70.77
1053.8	86.355	70.763
1053.7	86.44	70.765
1053.6	86.458	70.718999
1053.5	86.443	70.706
1053.4	86.488	70.776
1053.3	86.543	70.799
1053.2	86.518	70.763
1053.1	86.448	70.806
1053	86.402	70.833
1052.9	86.358999	70.801
1052.8	86.378999	70.804
1052.7	86.462	70.789
1052.6	86.545	70.765
1052.5	86.539	70.753
1052.4	86.423	70.745
1052.3	86.409	70.738999
1052.2	86.447	70.69
1052.1	86.456999	70.709999
1052	86.382	70.758
1051.9	86.412	70.716
1051.8	86.399	70.733999
1051.7	86.497	70.726999
