"34,000","10,000","34,000","30,000","36,000","20,000","26,000","10,000","28,000","0,000","28,000","-30,000","32,000","-10,000","30,000","0,000","28,000","10,000","32,000","10,000"
"30,000","-50,000","32,000","-70,000","34,000","-80,000","32,000","20,000","28,000","10,000","28,000","10,000","32,000","10,000","28,000","20,000","32,000","20,000","28,000","20,000"
"34,000","10,000","34,000","10,000","28,000","0,000","34,000","20,000","28,000","10,000","34,000","-90,000","26,000","0,000","36,000","20,000","32,000","10,000","26,000","0,000"
"36,000","-70,000","38,000","-100,000","40,000","-80,000","28,000","0,000","30,000","10,000","34,000","30,000","38,000","10,000","30,000","0,000","36,000","10,000","32,000","20,000"
"38,000","10,000","36,000","10,000","38,000","10,000","36,000","20,000","28,000","0,000","36,000","-80,000","34,000","0,000","36,000","10,000","36,000","10,000","36,000","20,000"
"28,000","-110,000","32,000","-90,000","36,000","-100,000","28,000","0,000","38,000","10,000","36,000","20,000","36,000","0,000","34,000","10,000","36,000","10,000","36,000","30,000"
"30,000","0,000","28,000","10,000","30,000","0,000","34,000","0,000","36,000","10,000","34,000","-110,000","36,000","20,000","28,000","0,000","36,000","30,000","28,000","-10,000"
"30,000","-50,000","30,000","-90,000","34,000","-100,000","24,000","10,000","30,000","20,000","28,000","10,000","26,000","10,000","30,000","30,000","30,000","30,000","28,000","0,000"
"16,000","10,000","20,000","30,000","24,000","0,000","26,000","20,000","22,000","0,000","24,000","-100,000","24,000","-10,000","24,000","10,000","20,000","0,000","26,000","10,000"
"18,000","-50,000","14,000","-100,000","20,000","-110,000","20,000","20,000","20,000","20,000","16,000","0,000","22,000","0,000","16,000","10,000","20,000","20,000","16,000","0,000"
"14,000","10,000","14,000","10,000","16,000","30,000","14,000","20,000","16,000","10,000","18,000","-80,000","14,000","10,000","16,000","10,000","12,000","10,000","10,000","-10,000"
"4,000","-20,000","4,000","-60,000","14,000","-70,000","12,000","30,000","2,000","0,000","14,000","10,000","8,000","10,000","4,000","10,000","10,000","-10,000","4,000","0,000"
"-2,000","20,000","-6,000","20,000","-6,000","0,000","2,000","20,000","-2,000","10,000","2,000","-50,000","-4,000","10,000","-6,000","10,000","4,000","10,000","6,000","20,000"
"-6,000","0,000","-2,000","-20,000","-4,000","-30,000","-6,000","0,000","-6,000","10,000","-2,000","10,000","-4,000","20,000","-4,000","10,000","-2,000","10,000","2,000","10,000"
"116,000","10,000","106,000","10,000","104,000","0,000","42,000","0,000","30,000","10,000","-10,000","-40,000","50,000","10,000","46,000","30,000","24,000","30,000","0,000","-10,000"
"-270,000","-40,000","-252,000","0,000","-250,000","0,000","228,000","-60,000","232,000","10,000","110,000","10,000","-58,000","10,000","228,000","-30,000","224,000","10,000","172,000","20,000"
"-306,000","10,000","-308,000","0,000","-306,000","0,000","-306,000","30,000","-306,000","20,000","-248,000","10,000","-308,000","10,000","-304,000","10,000","-306,000","20,000","-314,000","-20,000"
"-286,000","-60,000","-288,000","-90,000","-286,000","-100,000","-296,000","0,000","-298,000","10,000","-300,000","10,000","-288,000","20,000","-292,000","0,000","-300,000","0,000","-306,000","0,000"
"-274,000","30,000","-272,000","10,000","-276,000","20,000","-280,000","10,000","-278,000","20,000","-290,000","-80,000","-280,000","10,000","-276,000","20,000","-278,000","20,000","-290,000","0,000"
"-272,000","0,000","-266,000","-10,000","-270,000","20,000","-268,000","10,000","-262,000","40,000","-280,000","10,000","-262,000","10,000","-264,000","10,000","-264,000","20,000","-272,000","10,000"
"-260,000","10,000","-256,000","20,000","-256,000","0,000","-266,000","-30,000","-266,000","-80,000","-266,000","20,000","-262,000","-40,000","-262,000","-70,000","-266,000","-230,000","-266,000","-330,000"
"-254,000","-10,000","-256,000","0,000","-258,000","10,000","-256,000","20,000","-256,000","0,000","-254,000","20,000","-252,000","10,000","-260,000","10,000","-258,000","0,000","-254,000","20,000"
"-252,000","0,000","-250,000","10,000","-256,000","0,000","-258,000","10,000","-254,000","10,000","-256,000","20,000","-254,000","30,000","-260,000","0,000","-260,000","10,000","-262,000","0,000"
"-250,000","0,000","-244,000","0,000","-252,000","0,000","-250,000","0,000","-250,000","20,000","-256,000","0,000","-250,000","10,000","-250,000","20,000","-252,000","0,000","-250,000","30,000"
"-254,000","0,000","-248,000","10,000","-248,000","10,000","-250,000","10,000","-248,000","10,000","-250,000","0,000","-248,000","30,000","-250,000","0,000","-254,000","10,000","-252,000","0,000"
