ultramarin100,
X,Y
792373.6173802045,0.04320186084142394
792373.6146776672,0.06785800970873784
792373.8230733232,0.0755764563106796
792374.1551851323,0.08329490291262134
792374.2677908542,0.08651092233009706
792374.3578754318,0.08908373786407765
792375.5186152131,0.1213511326860841
792375.4725219376,0.11738470873786405
792375.7427756701,0.1251031553398058
792376.0554025188,0.1301058522114347
792376.2175702058,0.14355815907393574
792375.975420508,0.1366808252427184
792376.8140625991,0.1492657766990291
792377.1423433672,0.15603541482789052
792377.6018761065,0.1667276352288488
792378.18783116,0.1748756067961165
792378.349608047,0.1772876213592233
792378.5313083567,0.1803853155339806
792378.6087173542,0.18492111650485432
792378.357307729,0.18620752427184462
792378.3457213792,0.19070995145631064
792378.0890993129,0.21418082524271861
792378.0111302611,0.21707402912621382
792378.4305209948,0.2227584951456312
792378.691936996,0.22657564724919102
792378.7202012682,0.23420509708737883
792378.7098557061,0.2404429611650488
792378.6683450349,0.2482018608414243
792379.1012470702,0.25629517259978446
792379.6203703973,0.26399011789181703
792380.058769957,0.27300498921251365
792380.6398060393,0.2817104908306366
792381.122914882,0.29100576456310695
792381.3911041763,0.29976941747572833
792374.2697370211,0.09611650485436891
792374.4356286203,0.10485436893203881
792374.9197057463,0.11067961165048541
792373.09047891,0.060436893203883485
792372.9245873106,0.05169902912621358
792372.9116695222,0.047330097087378634
792378.2463762204,0.19368932038834946
792377.7945935656,0.19878640776699025
792377.5719316853,0.20242718446601937
792377.5848494738,0.20679611650485433
