ultramarin10,
X,Y
792820.4266199775,0.3399525124247227
792821.0354504,0.3404233919352655
792822.4651839278,0.34032781434584536
792823.5177738853,0.34072048830639806
792824.9594404359,0.34055709171773435
792825.6770616813,0.3411190571176375
792827.1604564706,0.3408535411001022
792828.2073743237,0.341090499922774
792829.1722424154,0.3414219149181356
792830.1424417067,0.3417471926046436
792830.7156277618,0.3425295142859545
792830.9707267622,0.34367801967289946
792830.2104975355,0.34599537694282895
792813.5169580996,0.36647498341154966
792829.9242670729,0.3477670640214135
792814.373750978,0.36693081523394416
792830.1741201963,0.34892160849315873
792815.3449256563,0.3672549700491722
792829.8712903348,0.3507124048983068
792816.3353358997,0.36755698076784654
792829.9842229798,0.3520245730377766
792816.9349263743,0.3683089055244598
792830.2305256763,0.35318320478199056
792817.3817262187,0.36923672376167316
792830.549276126,0.3542584342426975
792818.160093318,0.36985494865023677
792830.5158126246,0.3557391344948867
792818.5711450941,0.37082191725242397
792830.8303651165,0.35681919666950884
792819.3304670104,0.3712788814712794
792831.2900437097,0.3578022946347863
792819.7071771434,0.3723283583341933
792831.4334839794,0.35908134523876545
792826.1266934084,0.36457762888018463
792819.6301201935,0.3738592436231551
792832.194966113,0.35958480563018647
792831.9181494587,0.36091500543894295
792819.8290467247,0.3750724150901836
792832.9516288453,0.3610472532983376
792819.9164812366,0.3764139368317347
792833.6650264204,0.36166816264523366
792819.7421828562,0.3780567670328055
792834.4137983649,0.36224834880797246
792819.936273173,0.3792755059785582
792835.3659329646,0.3625944226747999
792835.8559919426,0.3633823046863078
792833.8500978678,0.36366259028944586
792832.0685593529,0.3638767733106996
792829.6715802603,0.36398312864838644
792821.8461485164,0.3646244651920112
792818.9080390086,0.36494560981102003
792815.708891237,0.3651590999636244
792814.2722280924,0.365588505309106
