ultramarin100,
X,Y
792373.6173802045,0.34576024811218986
792373.6146776672,0.34904773462783173
792373.8230733232,0.350076860841424
792374.1551851323,0.3511059870550162
792374.2677908542,0.35153478964401297
792374.3578754318,0.35187783171521037
792375.5186152131,0.3561801510248112
792375.4725219376,0.3556512944983819
792375.7427756701,0.35668042071197414
792376.0554025188,0.35734744696152465
792376.2175702058,0.35914108787652477
792375.975420508,0.3582241100323625
792376.8140625991,0.35990210355987057
792377.1423433672,0.3608047219770521
792377.6018761065,0.3622303513638465
792378.18783116,0.36331674757281557
792378.349608047,0.36363834951456314
792378.5313083567,0.36405137540453075
792378.6087173542,0.3646561488673139
792378.357307729,0.3648276699029126
792378.3457213792,0.3654279935275081
792378.0890993129,0.36855744336569585
792378.0111302611,0.36894320388349516
792378.4305209948,0.3697011326860842
792378.691936996,0.37021008629989216
792378.7202012682,0.3712273462783172
792378.7098557061,0.3720590614886732
792378.6683450349,0.37309358144552324
792379.1012470702,0.37417268967997125
792379.6203703973,0.37519868238557563
792380.058769957,0.37640066522833515
792380.6398060393,0.37756139877741823
792381.122914882,0.3788007686084143
792381.3911041763,0.3799692556634304
792374.2697370211,0.3528155339805825
792374.4356286203,0.35398058252427184
792374.9197057463,0.3547572815533981
792373.09047891,0.34805825242718447
792372.9245873106,0.34689320388349515
792372.9116695222,0.3463106796116505
792378.2463762204,0.36582524271844663
792377.7945935656,0.36650485436893204
792377.5719316853,0.36699029126213595
792377.5848494738,0.3675728155339806
