DPPH10mg,
X,Y
791473.0607678943,0.36793540829986615
791521.0059244068,0.36837884872824633
791564.9182260958,0.36823694779116467
791618.2858099063,0.3682192101740295
791648.8631974707,0.36930120481927714
791667.7345125182,0.36866265060240966
791711.5034036856,0.3690174029451138
791739.2636550931,0.36889915216421243
791755.9968953829,0.3701171352074967
791770.0647127517,0.3696559571619813
791784.431427839,0.36983333333333335
791793.0662508189,0.3706137884872825
791798.9204192657,0.37107496653279787
791807.4163604773,0.37075568942436415
791814.281950497,0.37096854082998665
791818.6989945598,0.3715716198125837
791823.994616765,0.3716425702811245
791830.9371955908,0.37121686746987953
791835.1111965593,0.3721037483266399
791841.2743266209,0.37161892012494424
791846.0909073646,0.3717371709058456
791852.1866093214,0.37244667559125394
791858.06291834,0.37295515394912987
791862.7486684326,0.3730615796519411
791865.8297302686,0.3734872824631861
791871.2727885537,0.37360553324408746
791877.6412220987,0.37436233824185633
791881.922806118,0.3746224899598394
791886.5538086151,0.3743978134761268
791891.6900564432,0.3757343429272646
791896.4924429001,0.37635762308493237
791901.3255955263,0.3770466309683177
791906.3561682506,0.3781573999702514
791911.3985492799,0.379293395805444
791914.942570688,0.379958653662268
791925.3790493248,0.34443658529543014
791931.2245255252,0.34777010263275326
791937.0008137921,0.3504739912029069
791942.6546963267,0.35291637661758146
791948.149852048,0.3550196638405474
791953.3815349657,0.35656007734642275
791958.6242881692,0.3581241410084784
791963.4460015001,0.35878871039714416
791968.4105215187,0.3597583668005355
791973.3945990424,0.360769805146512
791978.1790424108,0.3613547523427042
791983.0016471153,0.36218183209026583
791990.1862770229,0.36291566265060243
791995.4783768645,0.3632467648371263
791999.9313993562,0.36245448460508706
792005.5281836566,0.36383801874163324
792009.4088220494,0.36409817045961623
792015.3495400039,0.36447657295850067
792020.5857852212,0.3638853190539938
792028.0189789892,0.3642400713966979
792032.2206556724,0.365186077643909
792036.8747044917,0.36468942436412316
792042.8340406544,0.3653752788933512
792044.9555099831,0.3634832663989291
792050.4232248141,0.3647248995983936
792056.3709874961,0.36458299866131194
792062.6568970919,0.3659665327978581
792067.1675353898,0.3659665327978581
792075.5140277422,0.36532797858099064
792083.8499530035,0.3654698795180723
792089.9803754023,0.36571820615796524
792106.6572578731,0.36520972780008926
792130.7255689424,0.36603748326639896
792153.2123387166,0.3658955823293173
792172.3272000531,0.3657773315484159
792210.0044148224,0.3659665327978581
792249.9369487406,0.36615573404730034
792286.0774065529,0.3662739848282017
792352.1493007491,0.3660942436412316
792444.2647469309,0.3661439089692102
792545.8260654913,0.366297634984382
792660.1564556096,0.3664277108433735
792662.5385798513,0.3658955823293173
