ultramarin,
X,Y
791922.0482987844,0.2037065116995074
791924.2561520089,0.2027478448275862
791926.3002463954,0.20362718938149973
791928.5768804194,0.20321018062397372
791930.684306646,0.2062237506242249
791932.4457221087,0.20650092364532022
791934.9124076355,0.20900686136523577
791936.9774598132,0.21259676284306828
791939.1187329855,0.21087951559934318
791941.5785568334,0.21040261039760733
791943.5766055089,0.21470058497536948
791945.5752356825,0.21898399014778328
791947.5040204677,0.2182224958949097
791950.2367571826,0.2181879935882403
791952.2001301296,0.21947198275862095
791952.4878834569,0.22755080049261084
791954.5008584454,0.2263786432676519
791956.60127794,0.22811172259852217
791958.585390042,0.23275887725779965
791960.6142096637,0.23628588746921184
791963.2820014745,0.18982912561576337
791962.5959473149,0.2409925338669951
791964.573031042,0.2458157840722496
791975.7235149655,-0.002982054890921886
791966.5722446522,0.2500845712746306
791977.7199567705,-0.002041256157635465
791968.6170884258,0.2532100972393268
791980.0896279176,-0.00025939039408866765
791972.5167687538,0.1928756157635468
791970.5446885949,0.2592731552750411
791982.1884688823,0.001513238916256158
791972.5114266535,0.2660543335868831
791984.3123164637,0.0026593288177339867
791974.2586861205,0.27493710005553945
791977.2096440814,0.19080870279146142
791986.3383582929,0.006255936467536048
791976.1123462855,0.28285272082971125
791988.1779526564,0.014523975125251233
791977.7408409182,0.29640985164378875
791989.7528908211,0.029422960302542052
791983.1065486993,0.19254926108374384
791991.2449952938,0.046397339083388486
791992.8732716732,0.05995993822135638
791994.5264765552,0.07289795509855494
791989.570900131,0.19026477832512317
791996.2701378169,0.08356959234843372
791998.0756138493,0.09269246391841685
791999.9707770725,0.09956822785072905
792001.7850196635,0.10847145377547583
791998.0269097221,0.18904094827586207
792003.6915290758,0.11506293956160064
792005.5585161189,0.12264465613831756
792007.5740850727,0.12854212264195988
792005.7267090139,0.18637931034482727
792009.535240082,0.13172600446428584
792011.4118852717,0.13793325807334442
792009.5214036348,0.18643165024630518
792013.4989166044,0.14113425569581292
792015.3995341662,0.1452309113300494
792013.3641453669,0.1852801724137928
792017.4317565723,0.15131511510854348
792019.370156976,0.1567300809790822
792021.6097994768,0.15535242841748778
792023.7051321022,0.15721295897375417
792024.4721794233,0.1572467672413792
792026.7828254184,0.16163998357963877
792028.9851927296,0.16081876596424013
792031.0184996135,0.16196839080459766
792032.654823121,0.17613828289936664
792034.9592363588,0.17421635415844708
792037.0156331945,0.17559637483107418
792039.1794925702,0.1771960153793318
792041.4159975435,0.17551948051948058
792043.7059120727,0.17250477216748722
791952.2701149425,0.18842364532019706
791942.1385359952,0.18842364532019706
791936.0276769509,0.18768472906403944
791932.0069570477,0.18842364532019706
791928.9072897761,0.1891625615763547
791926.4216575922,0.18990147783251235
791924.2430429521,0.19064039408866998
792018.8513309135,0.18177339901477832
792022.8720508167,0.1810344827586207
792027.5657894736,0.17881773399014778
792034.6914700544,0.16182266009852217
792037.9801875377,0.16403940886699508
792040.6843617664,0.16551724137931034
792042.9930429521,0.16921182266009854
